contestID,choiceID,precID,precname,splitID,splitname,count,cont_ch
671,880,29,AU0006,29,7 DEM,0,671_880
671,885,29,AU0006,29,7 DEM,0,671_885
1202,1265,29,AU0006,29,7 DEM,0,1202_1265
2212,2320,29,AU0006,29,7 DEM,0,2212_2320
3007,1,29,AU0006,29,7 DEM,0,3007_1
3032,1,29,AU0006,29,7 DEM,0,3032_1
3032,2,29,AU0006,29,7 DEM,0,3032_2
3077,1,29,AU0006,29,7 DEM,0,3077_1
3077,2,29,AU0006,29,7 DEM,0,3077_2
4022,3775,29,AU0006,29,7 DEM,0,4022_3775
4022,3780,29,AU0006,29,7 DEM,0,4022_3780
4452,3750,29,AU0006,29,7 DEM,0,4452_3750
9010,1,29,AU0006,29,7 DEM,0,9010_1
8006,1,29,AU0006,29,7 DEM,0,8006_1
8006,2,29,AU0006,29,7 DEM,0,8006_2
8014,1,29,AU0006,29,7 DEM,0,8014_1
8014,2,29,AU0006,29,7 DEM,0,8014_2
181,100,29,AU0006,30,7 REP,0,181_100
181,105,29,AU0006,30,7 REP,0,181_105
191,145,29,AU0006,30,7 REP,0,191_145
191,150,29,AU0006,30,7 REP,0,191_150
201,195,29,AU0006,30,7 REP,0,201_195
211,210,29,AU0006,30,7 REP,0,211_210
221,220,29,AU0006,30,7 REP,0,221_220
351,495,29,AU0006,30,7 REP,0,351_495
351,500,29,AU0006,30,7 REP,0,351_500
2211,2315,29,AU0006,30,7 REP,0,2211_2315
3006,1,29,AU0006,30,7 REP,0,3006_1
3006,2,29,AU0006,30,7 REP,0,3006_2
3031,1,29,AU0006,30,7 REP,0,3031_1
3031,2,29,AU0006,30,7 REP,0,3031_2
3036,1,29,AU0006,30,7 REP,0,3036_1
7369,1,29,AU0006,30,7 REP,0,7369_1
4021,3760,29,AU0006,30,7 REP,0,4021_3760
4021,3765,29,AU0006,30,7 REP,0,4021_3765
4021,3770,29,AU0006,30,7 REP,0,4021_3770
9011,1,29,AU0006,30,7 REP,0,9011_1
8006,1,29,AU0006,30,7 REP,0,8006_1
8006,2,29,AU0006,30,7 REP,0,8006_2
8014,1,29,AU0006,30,7 REP,0,8014_1
8014,2,29,AU0006,30,7 REP,0,8014_2
8006,1,29,AU0006,31,7 NP,0,8006_1
8006,2,29,AU0006,31,7 NP,0,8006_2
8014,1,29,AU0006,31,7 NP,0,8014_1
8014,2,29,AU0006,31,7 NP,0,8014_2
352,505,29,AU0006,32,FED11 DEM,0,352_505
351,495,29,AU0006,33,FED11 REP,0,351_495
351,500,29,AU0006,33,FED11 REP,0,351_500
182,110,34,AU0007,34,8 DEM,0,182_110
182,115,34,AU0007,34,8 DEM,0,182_115
182,120,34,AU0007,34,8 DEM,0,182_120
182,130,34,AU0007,34,8 DEM,0,182_130
182,135,34,AU0007,34,8 DEM,0,182_135
182,140,34,AU0007,34,8 DEM,0,182_140
192,155,34,AU0007,34,8 DEM,0,192_155
192,160,34,AU0007,34,8 DEM,0,192_160
192,165,34,AU0007,34,8 DEM,0,192_165
192,170,34,AU0007,34,8 DEM,0,192_170
192,175,34,AU0007,34,8 DEM,0,192_175
192,180,34,AU0007,34,8 DEM,0,192_180
192,185,34,AU0007,34,8 DEM,0,192_185
192,190,34,AU0007,34,8 DEM,0,192_190
202,200,34,AU0007,34,8 DEM,0,202_200
212,215,34,AU0007,34,8 DEM,0,212_215
222,225,34,AU0007,34,8 DEM,0,222_225
352,505,34,AU0007,34,8 DEM,0,352_505
670,870,34,AU0007,34,8 DEM,0,670_870
670,875,34,AU0007,34,8 DEM,0,670_875
671,880,34,AU0007,34,8 DEM,0,671_880
671,885,34,AU0007,34,8 DEM,0,671_885
1202,1265,34,AU0007,34,8 DEM,0,1202_1265
2202,2310,34,AU0007,34,8 DEM,0,2202_2310
3007,1,34,AU0007,34,8 DEM,0,3007_1
3032,1,34,AU0007,34,8 DEM,0,3032_1
3032,2,34,AU0007,34,8 DEM,0,3032_2
3077,1,34,AU0007,34,8 DEM,0,3077_1
3077,2,34,AU0007,34,8 DEM,0,3077_2
4022,3775,34,AU0007,34,8 DEM,0,4022_3775
4022,3780,34,AU0007,34,8 DEM,0,4022_3780
4452,3750,34,AU0007,34,8 DEM,0,4452_3750
8006,1,34,AU0007,34,8 DEM,0,8006_1
8006,2,34,AU0007,34,8 DEM,0,8006_2
8014,1,34,AU0007,34,8 DEM,0,8014_1
8014,2,34,AU0007,34,8 DEM,0,8014_2
181,100,34,AU0007,35,8 REP,0,181_100
181,105,34,AU0007,35,8 REP,0,181_105
191,145,34,AU0007,35,8 REP,0,191_145
191,150,34,AU0007,35,8 REP,0,191_150
201,195,34,AU0007,35,8 REP,0,201_195
211,210,34,AU0007,35,8 REP,0,211_210
221,220,34,AU0007,35,8 REP,0,221_220
351,495,34,AU0007,35,8 REP,0,351_495
